League,Division,Formal Name,Nickname
American League,West,Los Angeles Angels,Angels
American League,West,Houston Astros,Astros
American League,West,Oakland Athletics,Athletics
American League,East,Toronto Blue Jays,Blue Jays
National League,East,Atlanta Braves,Braves
National League,Central,Milwaukee Brewers,Brewers
National League,Central,St. Louis Cardinals,Cardinals
National League,Central,Chicago Cubs,Cubs
National League,West,Los Angeles Dodgers,Dodgers
National League,West,San Francisco Giants,Giants
American League,Central,Cleveland Indians,Indians
American League,West,Seattle Mariners,Mariners
National League,East,Miami Marlins,Marlins
National League,East,New York Mets,Mets
National League,East,Washington Nationals,Nationals
American League,East,Baltimore Orioles,Orioles
National League,West,San Diego Padres,Padres
National League,East,Philadelphia Phillies,Phillies
National League,Central,Pittsburgh Pirates,Pirates
American League,West,Texas Rangers,Rangers
American League,East,Tampa Bay Rays,Rays
American League,East,Boston Red Sox,Red Sox
National League,Central,Cincinnati Reds,Reds
National League,West,Colorado Rockies,Rockies
American League,Central,Kansas City Royals,Royals
National League,West,Arizona Diamondbacks,Snakes
American League,Central,Detroit Tigers,Tigers
American League,Central,Minnesota Twins,Twins
American League,Central,Chicago White Sox,White Sox
American League,East,New York Yankees,Yankees